pincode,centroid_x,centroid_y,lat_0_5,lon_0_5,lat_0_25,lon_0_25,lat_0_1,lon_0_1,stcode11,dtcode11,sdtcode11,stname,dtname,sdtname,subdt_lgd,dist_lgd,state_lgd,geometry
712403,88.07161457,22.79774373,23,88,22.75,88,22.8,88.1,19,338,02348,WEST BENGAL,Hooghly,Haripal,2348,312,19,POINT (88.07161457094786 22.797743731145015)
712404,88.08970507,22.71638016,22.5,88,22.75,88,22.7,88.1,19,338,02353,WEST BENGAL,Hooghly,Jangipara,2353,312,19,POINT (88.08970506668804 22.716380161260158)
712405,88.11259513,22.85501056,23,88,22.75,88,22.9,88.1,19,338,02348,WEST BENGAL,Hooghly,Haripal,2348,312,19,POINT (88.11259512586444 22.85501056458418)
712406,87.84529139,22.71984505,22.5,88,22.75,87.75,22.7,87.8,19,338,02354,WEST BENGAL,Hooghly,Khanakul - I,2354,312,19,POINT (87.8452913872679 22.719845052980414)
712407,88.18016609,22.84309171,23,88,22.75,88.25,22.8,88.2,19,338,02348,WEST BENGAL,Hooghly,Haripal,2348,312,19,POINT (88.18016608505363 22.84309171326616)
712408,88.00721823,22.75330132,23,88,22.75,88,22.8,88,19,338,02353,WEST BENGAL,Hooghly,Jangipara,2353,312,19,POINT (88.00721823171688 22.753301318516463)
712409,88.240914,22.83179491,23,88,22.75,88.25,22.8,88.2,19,338,02349,WEST BENGAL,Hooghly,Singur,2349,312,19,POINT (88.24091399566203 22.831794912185646)
712410,87.98570028,22.9198887,23,88,23,88,22.9,88,19,338,02343,WEST BENGAL,Hooghly,Dhaniakhali,2343,312,19,POINT (87.98570028119738 22.91988869651055)
712412,87.91609465,22.76702763,23,88,22.75,88,22.8,87.9,19,338,02354,WEST BENGAL,Hooghly,Khanakul - I,2354,312,19,POINT (87.91609464619916 22.767027633838524)
712413,87.86711404,22.8801136,23,88,23,87.75,22.9,87.9,19,338,02340,WEST BENGAL,Hooghly,Arambag,2340,312,19,POINT (87.86711404005602 22.880113603035745)
712414,87.93646607,22.8908542,23,88,23,88,22.9,87.9,19,338,02341,WEST BENGAL,Hooghly,Pursura,2341,312,19,POINT (87.93646607408724 22.890854203677232)
712415,87.90473434,22.83155562,23,88,22.75,88,22.8,87.9,19,338,02340,WEST BENGAL,Hooghly,Arambag,2340,312,19,POINT (87.90473433648678 22.831555622238547)
712416,87.90166403,22.65430364,22.5,88,22.75,88,22.7,87.9,19,338,02355,WEST BENGAL,Hooghly,Khanakul - II,2355,312,19,POINT (87.90166403122711 22.65430364482165)
712417,87.84460069,22.645897,22.5,88,22.75,87.75,22.6,87.8,19,338,02355,WEST BENGAL,Hooghly,Khanakul - II,2355,312,19,POINT (87.84460069111937 22.645897001042535)
712501,88.4506695,23.0956243,23,88.5,23,88.5,23.1,88.5,19,338,02345,WEST BENGAL,Hooghly,Balagarh,2345,312,19,POINT (88.45066950450125 23.095624296677208)
